image_path,gender,articleType,baseColour
./images\23737.jpg,Women,Sunglasses,Black
./images\25077.jpg,Men,Accessory Gift Set,Navy Blue
./images\34345.jpg,Men,Tshirts,Purple
./images\15266.jpg,Women,Casual Shoes,Gold
./images\15972.jpg,Men,Shirts,Blue
./images\33111.jpg,Women,Casual Shoes,Yellow
./images\56524.jpg,Women,Lipstick,Purple
./images\9112.jpg,Men,Sports Shoes,White
./images\58961.jpg,Men,Perfume and Body Mist,White
./images\53617.jpg,Unisex,Free Gifts,Black
./images\35981.jpg,Women,Tshirts,White
./images\35048.jpg,Women,Kurtas,Green
./images\14832.jpg,Men,Belts,Black
./images\4057.jpg,Men,Tshirts,White
./images\26202.jpg,Men,Perfume and Body Mist,Silver
./images\12961.jpg,Men,Sandals,Brown
./images\1966.jpg,Men,Tshirts,Black
./images\45211.jpg,Women,Watches,White
./images\24051.jpg,Men,Tshirts,White
./images\11613.jpg,Women,Kurtas,Blue
./images\56056.jpg,Women,Lip Gloss,Brown
./images\24913.jpg,Boys,Tshirts,Red
./images\46936.jpg,Men,Perfume and Body Mist,White
./images\49999.jpg,Women,Bra,White
./images\12855.jpg,Men,Formal Shoes,Black
./images\2577.jpg,Women,Tops,White
./images\36695.jpg,Men,Perfume and Body Mist,Brown
./images\24288.jpg,Men,Sweatshirts,Grey
./images\38603.jpg,Men,Tshirts,Blue
./images\20114.jpg,Women,Kurtas,Grey
./images\38753.jpg,Women,Handbags,Black
./images\33300.jpg,Men,Trousers,White
./images\51590.jpg,Women,Jeggings,Navy Blue
./images\47526.jpg,Men,Briefs,Grey
./images\27435.jpg,Women,Bra,Grey Melange
./images\13042.jpg,Women,Flats,Brown
./images\18194.jpg,Women,Tshirts,Green
./images\25948.jpg,Women,Scarves,Green
./images\5050.jpg,Men,Casual Shoes,Black
./images\52759.jpg,Women,Handbags,Brown
./images\6376.jpg,Men,Casual Shoes,Black
./images\15118.jpg,Men,Trousers,Black
./images\34030.jpg,Boys,Shirts,Blue
./images\28927.jpg,Men,Tshirts,Purple
./images\15172.jpg,Men,Tshirts,Brown
./images\42605.jpg,Women,Pendant,Gold
./images\42326.jpg,Women,Sarees,Red
./images\18616.jpg,Men,Tshirts,Red
./images\49705.jpg,Men,Ties,Maroon
./images\5254.jpg,Unisex,Duffel Bag,Red
./images\11436.jpg,Women,Tshirts,Peach
./images\30983.jpg,Men,Perfume and Body Mist,Black
./images\42290.jpg,Girls,Skirts,Pink
./images\11319.jpg,Women,Capris,Blue
./images\5256.jpg,Unisex,Rucksacks,Red
